Date,Open,High,Low,Close,Adj_Close,Volume
01-01-2004,5.1899,5.3805,5.1823,5.1861,5.1861,0
01-02-2004,5.1851,5.3281,5.1851,5.1892,5.1892,0
01-03-2004,5.1897,5.2034,5.1774,5.1851,5.1851,0
01-04-2004,5.1896,5.3002,5.1727,5.1634,5.1634,0
01-05-2004,5.1756,5.1897,5.1714,5.1765,5.1765,0
01-06-2004,5.1767,5.2011,5.1248,5.1703,5.1703,0
01-07-2004,5.1812,5.2069,5.1026,5.1596,5.1596,0
01-08-2004,5.1713,5.2109,5.1574,5.1621,5.1621,0
01-09-2004,5.1672,5.2207,5.1488,5.1678,5.1678,0
01-10-2004,5.1349,5.33,5.1334,5.1765,5.1765,0
01-11-2004,5.1638,5.1822,5.1522,5.1845,5.1845,0
01-12-2004,5.1866,5.325,5.1223,5.1727,5.1727,0
01-01-2005,5.2203,5.2203,5.0665,5.0921,5.0921,0
01-02-2005,5.0898,5.1306,5.0607,5.0745,5.0745,0
01-03-2005,5.0985,5.3,5.0606,5.2808,5.2808,0
01-04-2005,5.2808,5.3,4.9836,5.01,5.01,0
01-05-2005,4.8367,5.0775,4.8193,5.075,5.075,0
01-06-2005,5.075,5.075,4.7683,5,5,0
01-07-2005,5,5.03,4.7618,4.7651,4.7651,0
01-08-2005,5.007,5.011,4.7528,4.98,4.98,0
01-09-2005,4.98,5.0485,4.7749,5.0485,5.0485,0
01-10-2005,5.0485,5.082,4.8146,5.024,5.024,0
01-11-2005,5.018,5.048,4.7425,5.04,5.04,0
01-12-2005,5.04,5.052,4.7627,5.045,5.045,0
01-01-2006,5.045,5.19,4.808,5.059,5.059,0
01-02-2006,5.059,5.0635,4.8018,5.058,5.058,0
01-03-2006,5.058,5.065,4.7998,4.8295,4.8295,0
01-04-2006,4.8228,4.8663,4.7601,4.7601,4.7601,0
01-05-2006,4.7599,4.859,4.7366,4.8185,4.8185,0
01-06-2006,4.8081,4.8093,4.7605,4.7528,4.7528,0
01-07-2006,4.7577,4.8493,4.7549,4.8244,4.8244,0
01-08-2006,4.8265,4.8378,4.7602,4.7996,4.7996,0
01-09-2006,4.8177,4.8267,4.7746,4.816,4.816,0
01-10-2006,4.8179,4.8416,4.797,4.7942,4.7942,0
01-11-2006,4.7949,4.854,4.7855,4.8216,4.8216,0
01-12-2006,4.8182,4.8605,4.7688,4.8317,4.8317,0
01-01-2007,4.8319,4.8796,4.8244,4.8045,4.8045,0
01-02-2007,4.8005,4.8704,4.7805,4.8275,4.8275,0
01-03-2007,4.8258,4.8562,4.7961,4.8103,4.8103,0
01-04-2007,4.8105,4.8589,4.7935,4.7965,4.7965,0
01-05-2007,4.7932,4.9411,4.7924,4.926,4.926,0
01-06-2007,4.9264,4.9559,4.8936,4.891,4.891,0
01-07-2007,4.8907,5.0086,4.8658,4.9065,4.9065,0
01-08-2007,4.9125,4.9474,4.8647,4.944,4.944,0
01-09-2007,4.938,5.021,4.8695,4.8919,4.8919,0
01-10-2007,4.9438,4.9688,4.9199,4.9547,4.9547,0
01-11-2007,4.9586,5.0575,4.896,5.0088,5.0088,0
01-12-2007,4.9868,5.072,4.9346,4.9942,4.9942,0
01-01-2008,4.9942,4.9998,4.9125,4.9736,4.9736,0
01-02-2008,4.9696,5.0052,4.8922,4.9622,4.9622,0
01-03-2008,4.945,4.9853,4.8176,4.9291,4.9291,0
01-04-2008,4.995,5,4.725,4.7421,4.7421,0
01-05-2008,4.85,4.855,4.4732,4.6514,4.6514,0
01-06-2008,4.6509,4.7407,4.4475,4.4829,4.4829,0
01-07-2008,4.5375,4.625,4.4916,4.565,4.565,0
01-08-2008,4.665,4.67,4.4873,4.5812,4.5812,0
01-09-2008,4.5859,5.0021,4.5682,5.0554,5.0554,0
